mat_cod,cod_mat,mat_dsc,mat_ppu,grs_wgt,net_wgt,wgt_uom,mat_vol,vol_uom,mat_len,mat_wid,mat_hgt,mat_uom
5ACEFFF2D6111EDBAF913BE5C62D4CCF,F000DR9001741,PRESSURE REGULATOR,30.31,0.04,0.04,KG,0.264,L,60,55,80,MM
5ACEFFF2D6111EDBAF913BE4FFD3CCCE,F000DR9002741,PRESSURE REGULATOR,30.31,0.028,0.028,KG,0.12,L,40,60,50,MM
5ACEFFF2D6111EDBAF913BF18E238D15,F000DR9006741,PRESSURE REGULATOR,33.3,0.09,0.09,KG,0.485,L,78.57,78.57,78.57,MM
5ACEFFF2D6111EDBAF913BF3AC880D5B,F000DR9007741,PRESSURE REGULATOR,31.51,0.091,0.091,KG,0.288,L,80,60,60,MM
5ACEFFF2D6111EDBAF913BF7DE7C8CBD,F000DR9400741,PRESSURE REGULATOR,28.32,0.089,0.089,KG,0.324,L,90,60,60,MM
5ACEFFF2D6111EDBAF913BFBD0B24CF8,F000DR9579741,PRESSURE REGULATOR,28.32,0.085,0.085,KG,0.24,L,80,60,50,MM
5ACEFFF2D6111EDBAF913BFF1A8C0D4F,F000DR9608741,PRESSURE REGULATOR,28.32,0.091,0.091,KG,0.324,L,90,60,60,MM
5ACEFFF2D6111EDBAF913C00650A4D15,F000DR9710741,PRESSURE REGULATOR,33.76,0.155,0.155,KG,0.508,L,79.8,79.8,79.8,MM
5ACEFFF2D6111EDBAF913C021AA48D27,F000DR9716741,PRESSURE REGULATOR,30.6,0.157,0.157,KG,0.485,L,78.57,78.57,78.57,MM
5ACEFFF2D6111EDBAF9057AFC90A8D2D,F000EV10023P8,Parts Set,1.18,0.009,0.009,KG,0.168,L,55.17,55.17,55.17,MM
5ACEFFF2D6111EDBAF913C03F48F0CDE,F000KE01463P8,SPARK PLUG,4.37,0.052,0.052,KG,0.105,L,47.23,47.23,47.23,MM
5ACEFFF2D6111EEC94D54109C1C85F34,F000KE0165T3E,Spark Plug,5.41,0.045,0.045,KG,0.081,L,90,30,30,MM
5ACEFFF2D6111EEC94D5410A07695EE0,F000KE0P02T4E,Spark Plug,4.68,0.048,0.048,KG,0.156,L,24,27,89,MM
5ACEFFF2D6111EED9D98E7CAC2E2095E,F000KE0P02ZPE,Suppressed Spark Plug,5.33,0.052,0.048,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF9161F21B158D01,F000KE0P03T4E,Spark Plug,6.32,0.048,0.048,KG,0.056,L,24,27,89,MM
5ACEFFF2D6111EEDA0D946DAAAD31153,F000KE0P03ZPE,Suppressed Spark Plug,7.2,0.052,0.048,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF913C0F4649CD49,F000KE0P04T4E,Spark Plug,3.84,0.077,0.062,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EED9D98E7C81FCF495E,F000KE0P04ZPE,Suppressed Spark Plug,4.15,0.062,0.048,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF913C163ECF4D15,F000KE0P05T4E,Spark Plug,6.5,0.065,0.065,KG,0.056,L,24,27,89,MM
5ACEFFF2D6111EECB4F2800D192E5078,F000KE0P05T9D,Suppressed Spark Plug,6.5,0.067,0.063,KG,0.058,L,24,27,89,MM
5ACEFFF2D6111EEDA08DD6C3EE2EC827,F000KE0P05ZPE,Suppressed Spark Plug,7.41,0.065,0.063,KG,0.047,L,28,92,129,MM
5ACEFFF2D6111EED9D98E7E279CF895E,F000KE0P07ZPE,Suppressed Spark Plug,5.26,0.05,0.048,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDD97A25E28FFF0CE44,F000KE0P100ZB,Suppressed Spark Plug,6.3,0.048,0.048,KG,0.058,L,24,27,89,MM
5ACEFFF2D6111EDBAF9161E9E5448D01,F000KE0P10T4E,Spark Plug,5.53,0.053,0.052,KG,0.066,L,105,25,25,MM
5ACEFFF2D6111EEDA08DD6C6810687EF,F000KE0P10ZPE,Suppressed Spark Plug,6.3,0.066,0.062,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF9161E437CBCD01,F000KE0P11T4E,Spark Plug,3.98,0.061,0.061,KG,0.068,L,90,30,25,MM
5ACEFFF2D6111EEDA08DD6C80B1187F9,F000KE0P11ZPE,Spark Plug,4.22,0.066,0.062,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDC95866A4AEE298494,F000KE0P13T4E,Spark Plug,3.89,0.048,0.048,KG,0.058,L,29,90,130,MM
5ACEFFF2D6111EEDA08DD6C9116AC79F,F000KE0P13ZPE,Spark Plug,4.43,0.068,0.064,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF913C279A8A4CCE,F000KE0P14T4E,Spark Plug,4.74,0.048,0.048,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EEC94D5411E1BBD1F6D,F000KE0P15T4E,Spark Plug,3.71,0.04,0.04,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EEC94D541220AB9DF49,F000KE0P17T4E,Spark Plug,3.77,0.06,0.06,KG,0.081,L,90,30,30,MM
5ACEFFF2D6111EDBAF913C5D69E30D69,F000KE0P387ZB,SPARK PLUG,3.45,0.058,0.058,KG,0.115,L,48.57,48.57,48.57,MM
5ACEFFF2D6111EEDA08DD6DA514BC7DB,F000KE0P39ZPE,Suppressed Spark Plug,5.4,0.046,0.042,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEDA0D946DB41619157,F000KE0P43ZP2,Suppressed Spark Plug,5.26,0.066,0.062,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEDA0C01FFF26C08E60,F000KE0P43ZPE,Suppressed Spark Plug,4.63,0.066,0.062,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEDA08DD6DDC113879F,F000KE0P44ZPE,Suppressed Spark Plug,5.4,0.061,0.057,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF913C7170FDCD5B,F000KE0P45T4E,Spark Plug,5.41,0.052,0.052,KG,0.063,L,24,27,102,MM
5ACEFFF2D6111EEC94D54138DFFFDF68,F000KE0P49T4E,Spark Plug,6.56,0.048,0.048,KG,0.056,L,24,27,89,MM
5ACEFFF2D6111EEDA08DD6E1052CC837,F000KE0P49ZPE,Suppressed Spark Plug,7.48,0.059,0.055,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF91620928CB0D01,F000KE0P500ZB,Spark Plug,7.59,0.043,0.042,KG,0.068,L,24,27,89,MM
5ACEFFF2D6111EEDA08DD6E1F78B082A,F000KE0P50ZPE,Suppressed Spark Plug,7.48,0.04,0.036,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDC95866A834FBF04A5,F000KE0P51T4E,Spark Plug,8.26,0.05,0.046,KG,0.066,L,24,27,102,MM
5ACEFFF2D6111EEDA08DD6E13EF9083A,F000KE0P51ZPE,Suppressed Spark Plug,9.42,0.05,0.046,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF913C8424624D14,F000KV02477G2,FUEL RAIL ASSEMBLY,80.94,0.415,0.415,KG,3.648,L,380,120,80,MM
5ACEFFF2D6111EDBAF9057BC43234D4B,F000KV02487G2,FUEL RAIL ASSEMBLY,80.14,0.428,0.428,KG,3.952,L,80,380,130,MM
5ACEFFF2D6111EDBAF913C88FA658D28,F000KV02607G2,FUEL RAIL ASSEMBLY,99.3,0.41,0.41,KG,1.368,L,380,120,30,MM
5ACEFFF2D6111EDBAF913C9167368D1C,F000KV1065741,FUEL RAIL,7.93,0.25,0.25,KG,3.496,L,380,115,80,MM
5ACEFFF2D6111EDBAF913C9032344D30,F000KV1165741,INJECTION VALVE,141.6,0.25,0.25,KG,0.675,L,87.72,87.72,87.72,MM
5ACEFFF2D6111EDBAF9057BC42AC8D60,F000KV11777H1,O-Ring,0.62,0.014,0.014,KG,0.532,L,81.03,81.03,81.03,MM
5ACEFFF2D6111EDBAF913C9521FA8CDC,F000KV12633V2,FUEL RAIL,16.97,0.225,0.225,KG,3.496,L,380,115,80,MM
5ACEFFF2D6111EDBAF913C9599E68D14,F000KV12653V2,FUEL RAIL ASSEMBLY,21.93,0.235,0.235,KG,4.68,L,120,390,100,MM
5ACEFFF2D6111EDBAF913C9DF05BCD26,F000KV12743P8,Distributor,11.49,0.345,0.345,KG,10.285,L,220,425,110,MM
5ACEFFF2D6111EDBAF913CA391DCCCCE,F000KV12884ZX,Claw Clip,0.57,0.008,0.008,KG,0.169,L,55.29,55.29,55.29,MM
5ACEFFF2D6111EDBAF913CA5C1728D4F,F000KV1304741,CLAW CLIP,0.63,0.004,0.004,KG,0.02,L,27.09,27.09,27.09,MM
5ACEFFF2D6111EDBAF913CA6AE938D1E,F000KV13263FP,FUEL RAIL ASSEMBLY,11.99,0.27,0.27,KG,5.057,L,380,110.9,120,MM
5ACEFFF2D6111EDBAF913CA913DCCD5B,F000KV13293FP,SHEATHED-ELEM. GLOW PLUG,51.72,0.036,0.036,KG,0.108,L,30,90,40,MM
5ACEFFF2D6111EDBAF913CACCA1A0D55,F000KV13353FP,SHEATHED-ELEM. GLOW PLUG,16.22,0.024,0.024,KG,0.108,L,30,90,40,MM
5ACEFFF2D6111EDBAF913CAF5B57CD1B,F000KV13763V2,SHEATHED-ELEM. GLOW PLUG,51.7,0.031,0.031,KG,0.108,L,30,90,40,MM
5ACEFFF2D6111EDBAF913CB12B4D8D02,F000KV13834F4,Fuel Distributor,21.54,0.195,0.195,KG,4.104,L,160.1,160.1,160.1,MM
