bin_num,bin_typ,bin_sec,bin_asl
PR.29.014.1.03,SA01,D,29
PP.07.092.06,PA01,C,07
PP.24.033.03,PA01,B,24
PR.19.033.2.04,SA01,B,19
PR.19.034.2.01,SA01,B,19
PR.19.034.2.03,SA01,B,19
PP.14.070.03,PA01,A,14
PP.17.010.04,PA01,A,17
PK.05.051.02,PO02,C,05
PP.07.083.05,PA01,C,07
PP.09.048.03,PA01,A,09
PR.22.006.2.04,SA01,B,22
PP.18.063.05,PA01,A,18
PP.23.127.07,PA01,A,23
PP.08.107.04,PA01,A,08
PK.06.050.02,PO02,C,06
PP.06.094.07,PA01,C,06
PP.06.096.03,PA01,C,06
PP.06.096.06,PA01,C,06
PP.06.096.04,PA01,C,06
PP.06.096.07,PA01,C,06
PP.06.098.03,PA01,C,06
PP.06.096.05,PA01,C,06
PP.06.098.04,PA01,C,06
PP.06.098.05,PA01,C,06
PR.25.112.2.02,SA01,B,25
PP.14.007.05,PA01,A,14
PR.28.084.1.07,SA01,D,28
PR.28.084.1.08,SA01,D,28
PR.28.084.1.09,SA01,D,28
PR.28.084.1.10,SA01,D,28
PR.28.084.1.11,SA01,D,28
PR.29.034.1.13,SA01,D,29
PR.29.034.1.14,SA01,D,29
PR.05.091.2.02,SA01,C,05
PR.29.034.1.15,SA01,D,29
PR.31.097.1.04,PM04,0001,31
PR.31.097.1.05,PM04,0001,31
PR.29.036.1.01,SA01,D,29
PR.31.097.1.06,PM04,0001,31
PR.29.036.1.06,SA01,D,29
PR.29.036.1.07,SA01,D,29
PR.28.098.1.03,SA01,D,28
PR.28.098.1.04,SA01,D,28
PR.28.014.1.03,SA01,D,28
PR.26.032.2.03,SA01,B,26
PP.28.014.05,PA01,D,28
PP.28.024.03,PA01,D,28
PP.28.024.04,PA01,D,28
PR.22.096.2.04,SA01,A,22
PP.28.026.09,PA01,D,28
PP.12.069.03,PA01,A,12
PP.12.069.04,PA01,A,12
PP.15.011.03,PA01,A,15
PP.18.024.05,PA01,A,18
PR.24.114.2.02,SA01,B,24
PP.05.112.04,PA01,C,05
PP.05.116.07,PA01,C,05
PP.06.074.04,PA01,C,06
PP.06.074.06,PA01,C,06
PP.05.110.06,PA01,C,05
PP.06.074.07,PA01,C,06
PP.06.076.05,PA01,C,06
PR.28.065.1.11,SA01,D,28
PR.28.065.1.12,SA01,D,28
PP.05.043.07,PA01,C,05
PP.05.035.04,PA01,C,05
PP.11.077.05,PA01,A,11
PP.01.074.03,PA02,D,01
PR.06.034.1.02,SA01,C,06
PR.25.010.2.05,SA01,B,25
PP.10.024.04,PA01,A,10
PR.06.034.1.04,SA01,C,06
PK.19.024.02,PO02,B,19
PP.03.087.09,PA02,D,03
PR.25.011.2.01,SA01,B,25
PP.03.088.09,PA02,D,03
PR.06.034.1.05,SA01,C,06
PP.04.128.09,PA02,D,04
PR.25.015.2.04,SA01,B,25
PP.09.103.06,PA01,A,09
PR.25.015.2.05,SA01,B,25
PR.25.016.2.01,SA01,B,25
PP.20.036.06,PA01,A,20
PP.31.023.2.10,PM04,0001,31
PP.07.089.05,PA01,C,07
PP.03.128.06,PA01,C,03
PP.03.109.03,PA01,C,03
PP.03.113.03,PA01,C,03
PR.29.120.1.02,SA01,D,29
PR.29.120.1.03,SA01,D,29
PR.06.112.1.05,SA01,C,06
PR.06.112.2.01,SA01,C,06
PP.26.086.03,PA01,B,26
PK.27.076.02,PO02,B,27
PP.07.122.05,PA01,C,07
PK.27.098.02,PO02,B,27
PR.29.092.1.02,SA01,D,29
PR.07.032.1.01,SA01,C,07
PR.07.032.1.02,SA01,C,07
PR.07.032.1.03,SA01,C,07
PR.31.104.1.08,PM04,0001,31
PR.31.104.1.09,PM04,0001,31
PR.14.072.2.04,SA01,A,14
PR.31.104.1.06,PM04,0001,31
PR.31.104.1.07,PM04,0001,31
PP.12.022.06,PA01,A,12
PR.30.071.1.06,SA01,D,30
PR.30.071.1.07,SA01,D,30
PR.09.027.2.05,SA01,C,09
PR.09.028.2.01,SA01,C,09
PR.30.071.1.08,SA01,D,30
PR.30.071.1.10,SA01,D,30
PR.30.071.1.12,SA01,D,30
PR.30.071.1.13,SA01,D,30
PR.30.071.1.14,SA01,D,30
PR.30.071.1.15,SA01,D,30
PR.12.063.2.01,SA01,A,12
PR.12.063.2.02,SA01,A,12
PR.12.063.2.03,SA01,A,12
PR.12.063.2.04,SA01,A,12
PR.12.064.2.01,SA01,A,12
PR.12.065.2.01,SA01,A,12
PR.12.064.2.02,SA01,A,12
PR.12.064.2.03,SA01,A,12
PR.12.064.2.04,SA01,A,12
PR.12.065.2.02,SA01,A,12
PR.12.065.2.03,SA01,A,12
